Main Name,Bezoekadres,Postadres,Telefoon,Fax,Internet,E-mail
https://almanak.overheid.nl/17466/Provincie_Zuid-Holland,Zuid-Hollandplein 12596 AW Den Haag,Postbus 906022509 LP Den Haag,0704416611(algemeen),,http://www.zuid-holland.nl,zuidholland@pzh.nl
https://almanak.overheid.nl/8591/Volksgezondheid_Welzijn_en_Sport,Parnassusplein 52511 VX Den Haag,Postbus 203502500 EJ Den Haag,0703407911(algemeen),070 340 78 34,https://www.rijksoverheid.nl/ministeries/ministerie-van-volksgezondheid-welzijn-en-sport,
https://almanak.overheid.nl/616/Hoge_Raad_van_Adel,Nassaulaan 2-b2514 JS Den Haag,Postbus 163252500 BH Den Haag,(070)3614281(algemeen),(070) 36 31 712,"https://www.hogeraadvanadel.nl,https://www.hogeraadvanadel.nl/contact",info@hogeraadvanadel.nl
https://almanak.overheid.nl/21209/Unie_van_Waterschappen,Koningskade 402596 AA Den Haag,Postbus 932182509 AE Den Haag,(070)3519751(algemeen),,https://www.uvw.nl,info@uvw.nl
https://almanak.overheid.nl/18558/Rechtswezen_-_Raad_voor_de_Rechtspraak,Kneuterdijk 12514 EM Den Haag,Postbus 906132509 LP Den Haag,(070)3619723(algemeen),(070) 361 9715,http://www.rechtspraak.nl,
https://almanak.overheid.nl/28044796/Parket_bij_de_Hoge_Raad,Korte Voorhout 82511 EK ’s-Gravenhage,Postbus 203032500 EH ’s-Gravenhage,(070)3611311(algemeen),,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Hoge-Raad-der-Nederlanden/Over-de-Hoge-Raad/Parket/Paginas/default.aspx,info@hogeraad.nl
https://almanak.overheid.nl/18417/Hoge_Raad_der_Nederlanden,Korte Voorhout 82511 EK ’s-Gravenhage,Postbus 203032500 EH ’s-Gravenhage,(070)3611311(algemeen),,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Hoge-Raad-der-Nederlanden,info@hogeraad.nl
https://almanak.overheid.nl/58623/College_van_Beroep_voor_het_bedrijfsleven,Prins Clauslaan 142595 AJ ’s-Gravenhage,Postbus 200212500 EA ’s-Gravenhage,(088)3623910(algemeen),(088) 361 00 56,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/College-van-Beroep-voor-het-bedrijfsleven,"cbb@rechtspraak.nl,mediation.cbb@rechtspraak.nl"
https://almanak.overheid.nl/58622/Centrale_Raad_van_Beroep,Vrouwe Justitiaplein 13511 EX Utrecht,Postbus 160023500 DA Utrecht,(088)3621111(algemeen),(088) 36 10049,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Centrale-Raad-van-beroep,crvb@rechtspraak.nl
https://almanak.overheid.nl/15956/Interprovinciaal_Overleg,Herengracht 232511 EG Den Haag,Postbus 161072500 BC Den Haag,(070)8881212(algemeen),(070) 888 12 80,,communicatie@ipo.nl
https://almanak.overheid.nl/27906640/Nederlandse_Loodsencorporatie,Berghaven 163151 HB Hoek van Holland,,+31(0)889002500(algemeen),+ 31 (0) 88 900 25 88,https://www.loodswezen.nl,info@loodswezen.nl
https://almanak.overheid.nl/1924/Nationale_ombudsman,Bezuidenhoutseweg 1512594 AG Den Haag,Postbus 931222509 AC Den Haag,0800-3355555(algemeen),,http://www.nationaleombudsman.nl,post@nationaleombudsman.nl
https://almanak.overheid.nl/704/Kanselarij_der_Nederlandse_Orden,Nassaulaan 182514 JT Den Haag,Postbus 304362500 GK Den Haag,0703751200(algemeen),,http://www.lintjes.nl,info@kanselarij.nl
https://almanak.overheid.nl/1/Algemene_Rekenkamer,Lange Voorhout 82514 ED Den Haag,Postbus 200152500 EA Den Haag,070-3424344(algemeen),,http://www.rekenkamer.nl,voorlichting@rekenkamer.nl
https://almanak.overheid.nl/312/Eerste_Kamer_der_Staten-Generaal,Binnenhof 222513 AA Den Haag,Postbus 200172500 EA Den Haag,070-3129200(algemeen),070-3129390,http://www.eerstekamer.nl,postbus@eerstekamer.nl
https://almanak.overheid.nl/19087/Sociale_Zaken_en_Werkgelegenheid,Parnassusplein 52511 VX Den Haag,Postbus 908012509 LV Den Haag,0703334444(algemeen),,https://www.rijksoverheid.nl/ministeries/ministerie-van-sociale-zaken-en-werkgelegenheid,
https://almanak.overheid.nl/71852/Onderwijs_Cultuur_en_Wetenschap,Rijnstraat 502515 XP Den Haag,Postbus 163752500 BJ Den Haag,0704123456(algemeen),070 412 34 50,https://www.rijksoverheid.nl/ministeries/ministerie-van-onderwijs-cultuur-en-wetenschap,
https://almanak.overheid.nl/22387697/Landbouw_Natuur_en_Voedselkwaliteit,Bezuidenhoutseweg 732594 AC Den Haag,Postbus 204012500 EK Den Haag,0703798911(algemeen),,https://www.rijksoverheid.nl/ministeries/ministerie-van-landbouw-natuur-en-voedselkwaliteit,
https://almanak.overheid.nl/11906/Justitie_en_Veiligheid,Turfmarkt 1472511 DP Den Haag,Postbus 203012500 EH Den Haag,0703707911(algemeen),070 370 79 00,https://www.rijksoverheid.nl/ministeries/ministerie-van-justitie-en-veiligheid,
https://almanak.overheid.nl/112773/Infrastructuur_en_Waterstaat,Rijnstraat 82515 XP Den Haag,Postbus 209012500 EX Den Haag,0704560000(algemeen),070 456 11 11,https://www.rijksoverheid.nl/ministeries/ministerie-van-infrastructuur-en-waterstaat,
