Generic Name,Index Term,Dosage Form,Index Terms,Url,What is,Brand Name:
amphotericin B lipid complex (AM foe TER i sin B LIP id KOM plex),,,Drugs.com ,https://www.drugs.com/pro/abelcet.html,"Abelcet is an antifungal medicine that is used to treat serious, life-threatening fungal infections that cannot be treated with other antifungal medications.


Abelcet may also be used for purposes not listed in this medication guide.",
abemaciclib (a BEM a SYE klib),"LY2835219
Verzenio","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Tablet, Oral: 
Verzenio: 50 mg, 100 mg, 150 mg, 200 mg",Drugs.com ,https://www.drugs.com/ppa/abemaciclib.html,"Abemaciclib is used to treat advanced hormone-related 
breast cancer
. Abemaciclib is used for this condition only if your tumor tests negative for a protein called human epidermal growth factor receptor 2 (HER2). HER2 protein can speed the growth of cancer cells.


Abemaciclib is sometimes given with other cancer medicines.


Abemaciclib may also be used for purposes not listed in this medication guide.",
multivitamins (MUL tee VYE ta mins),"Cyanocobalamin, Folic Acid, and Pyridoxine
Folacin, Vitamin B
12
, and Vitamin B
6
Folic Acid/Cyanocob/Pyridoxine
Pyridoxine, Folic Acid, and Cyanocobalamin","Excipient information presented when available (limited, particularly for generics); consult specific product labeling. [DSC] = Discontinued product
Capsule, Oral:
Generic: Folic acid 1 mg, cyanocobalamin 400 mcg, and pyridoxine hydrochloride 50 mg
Tablet, Oral:
Airavite: Folic acid 2.5 mg, cyanocobalamin 1000 mcg, and pyridoxine hydrochloride 25 mg
Av-VITE FB: Folic acid 2.5 mg, cyanocobalamin 1000 mcg, and pyridoxine hydrochloride 25 mg
CenFol: Folic acid 2.3 mg, cyanocobalamin 2000 mcg, and pyridoxine hydrochloride 24.5 mg
FaBB: Folic acid 2.2 mg, cyanocobalamin 1000 mcg, and pyridoxine hydrochloride 25 mg
Folbee: Folic acid 2.5 mg, cyanocobalamin 1000 mcg, and pyridoxine hydrochloride 25 mg [dye free, lactose free, and sugar free]
Folbic: Folic acid 2.5 mg, cyanocobalamin 2000 mcg, and pyridoxine hydrochloride 25 mg
Folgard RX: Folic acid 2.2 mg, cyanocobalamin 1000 mcg, and pyridoxine hydrochloride 25 mg
Folplex 2.2: Folic acid 2.2 mg, cyanocobalamin 500 mcg, and pyridoxine hydrochloride 25 mg
Foltabs 800: Folic acid 0.8 mg, cyanocobalamin 115 mcg, and pyridoxine hydrochloride 10 mg [gluten free]
Homocysteine Formula: Folic acid 0.8 mg, cyanocobalamin 100 mcg, and pyridoxine hydrochloride 50 mg
Niva-Fol: Folic acid 2.5 mg, cyanocobalamin 2000 mcg, and pyridoxine hydrochloride 25 mg
NuFol: Folic acid 2.5 mg, cyanocobalamin 1000 mcg, and pyridoxine hydrochloride 25 mg
Virt-Gard: Folic acid 2.2 mg, cyanocobalamin 1000 mcg, and pyridoxine hydrochloride 25 mg
Virt-Vite: Folic acid 2.5 mg, cyanocobalamin 1000 mcg, and pyridoxine hydrochloride 25 mg [DSC]
Virt-Vite Forte: Folic acid 2.5 mg, cyanocobalamin 2000 mcg, and pyridoxine hydrochloride 25 mg [DSC]
Vita-Respa: Folic acid 2.2 mg, cyanocobalamin 1300 mcg, and pyridoxine hydrochloride 25 mg [dye free and sugar free] [DSC]
Generic: Folic acid 0.5 mg, cyanocobalamin 200 mcg, pyridoxine hydrochloride 5 mg; Folic acid 0.8 mg, cyanocobalamin 100 mcg, and pyridoxine hydrochloride 50 mg; Folic acid 2.2 mg, cyanocobalamin 500 mcg, and pyridoxine hydrochloride 25 mg; Folic acid 2.5 mg, cyanocobalamin 200 mcg, and pyridoxine hydrochloride 25 mg",Drugs.com ,https://www.drugs.com/ppa/folic-acid-cyanocobalamin-and-pyridoxine.html,"Multivitamins are a combination of many different 
vitamins
 that are normally found in foods and other natural sources.


Multivitamins are used to provide 
vitamins
 that are not taken in through the diet. Multivitamins are also used to treat vitamin deficiencies (lack of 
vitamins
) caused by illness, pregnancy, poor nutrition, digestive disorders, and many other conditions.


Multivitamins may also be used for purposes not listed in this medication guide.",
Abciximab (ab SIK si mab),"7E3
C7E3","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.  [DSC] = Discontinued product
Solution, Intravenous: 
ReoPro: 2 mg/mL (5 mL [DSC]) [contains polysorbate 80]",Drugs.com ,https://www.drugs.com/ppa/abciximab.html,,
multivitamin with iron (MUL tee VYE ta mins with EYE ron),"Iron Polysaccharide Complex, Vitamin B12, and Folic Acid
Iron-Polysaccharide Complex, Vitamin B12, and Folic Acid","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.  [DSC] = Discontinued product
Capsule, Oral: 
IFerex 150 Forte: Elemental iron 150 mg, cyanocobalamin 25 mcg, and folic acid 1 mg [contains brilliant blue fcf (fd&c blue #1), fd&c yellow #10 (quinoline yellow)]
Myferon 150 Forte: Elemental iron 150 mg, cyanocobalamin 25 mcg, and folic acid 1 mg [contains fd&c blue #1 aluminum lake, fd&c red #40 aluminum lake]
Poly-Iron 150 Forte: Elemental iron 150 mg, cyanocobalamin 25 mcg, and folic acid 1 mg [contains fd&c blue #1 aluminum lake, fd&c red #40 aluminum lake]
Tablet, Oral: 
BiferaRx: Iron as polysaccharide iron complex 22 mg, iron as heme iron polypeptide 6 mg, cyanocobalamin 25 mcg, and folic acid 1 mg [DSC] [scored; contains fd&c blue #2 aluminum lake, fd&c red #40 aluminum lake]
Irofol: Elemental iron 150 mg, cyanocobalamin 25 mcg, and folic acid 1 mg",Drugs.com ,https://www.drugs.com/ppa/polysaccharide-iron-complex-vitamin-b12-and-folic-acid.html,"Multivitamins are a combination of many different 
vitamins
 that are normally found in foods and other natural sources.


Iron is normally found in foods like red meat. In the body, iron becomes a part of your hemoglobin (HEEM o glo bin) and myoglobin (MY o glo bin). Hemoglobin carries oxygen through your blood to tissues and organs. Myoglobin helps your muscle cells store oxygen.


Multivitamins with iron are used to provide 
vitamins
 and iron that are not taken in through the diet. They are also used to treat iron or vitamin deficiencies caused by illness, pregnancy, poor nutrition, digestive disorders, and many other conditions.


Multivitamin
 and iron may also be used for purposes not listed in this medication guide.",
Abciximab (ab SIK si mab),"7E3
C7E3","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.  [DSC] = Discontinued product
Solution, Intravenous: 
ReoPro: 2 mg/mL (5 mL [DSC]) [contains polysorbate 80]",Drugs.com ,https://www.drugs.com/ppa/abciximab.html,,
abatacept (a BAY ta sept),"BMS-188667
CTLA-4Ig","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution Auto-injector, Subcutaneous [preservative free]: 
Orencia ClickJect: 125 mg/mL (1 mL)
Solution Prefilled Syringe, Subcutaneous [preservative free]: 
Orencia: 50 mg/0.4 mL (0.4 mL); 87.5 mg/0.7 mL (0.7 mL); 125 mg/mL (1 mL)
Solution Reconstituted, Intravenous [preservative free]: 
Orencia: 250 mg (1 ea)",Drugs.com ,https://www.drugs.com/ppa/abatacept.html,"Abatacept a protein that prevents your body's immune system from attacking healthy tissues such as joints. The immune system helps your body fight infections. In people with 
autoimmune disorders
, the immune system mistakes the body's own cells for invaders and attacks them.


Abatacept is used to treat the symptoms of 
rheumatoid arthritis
, and to prevent joint damage caused by these conditions.  abatacept is for adults and children who are at least 2 years old.


Abatacept is also used to treat active 
psoriatic arthritis
 in adults.


Abatacept is not a cure for any autoimmune disorder and will only treat the symptoms of your condition.


Abatacept may also be used for purposes not listed in this medication guide.",
fentanyl (sublingual) (FEN tan il sub LIN gwal),,,Drugs.com ,https://www.drugs.com/pro/abstral-sublingual-tablet.html,"Abstral 
(fentanyl)
 is an opioid pain medication. An opioid is sometimes called a narcotic.


Abstral sublingual tablets are used to treat ""breakthrough"" 
cancer pain
 that is not controlled by other medicines.


The sublingual tablet is placed on the floor of the mouth under your tongue (sublingual) and allowed to dissolve.


Abstral is not for treating pain that is not cancer-related.","Abstral, Fentora, Subsys"
fentanyl (sublingual) (FEN tan il sub LIN gwal),,,Drugs.com ,https://www.drugs.com/pro/abstral-sublingual-tablet.html,"Abstral 
(fentanyl)
 is an opioid pain medication. An opioid is sometimes called a narcotic.


Abstral sublingual tablets are used to treat ""breakthrough"" 
cancer pain
 that is not controlled by other medicines.


The sublingual tablet is placed on the floor of the mouth under your tongue (sublingual) and allowed to dissolve.


Abstral is not for treating pain that is not cancer-related.","Abstral, Fentora, Subsys"
isotretinoin (oral) (EYE so TRET i noyn),,,Drugs.com ,https://www.drugs.com/pro/absorica.html,"Absorica is a form of 
vitamin A
. It reduces the amount of oil released by oil glands in your skin, and helps your skin renew itself more quickly.


Absorica is used to treat severe nodular 
acne
 that has not responded to other treatments, including 
antibiotics
.


Absorica is available only from a certified pharmacy under a special program called iPLEDGE.


Absorica may also be used for purposes not listed in this medication guide.",
